"countrycode","year","timeperiod","logprivatecredit","inflation","logtrade","logschooling","growthingini","growthgdppercapita","loginitialgini","span","loginitialgdppercapita","growthlowestincomeshare","loginitiallowestincomeshare"
"FIN",1977,3,-0.829227328300476,9.12160873413086,4.07641315460205,1.96892905235291,0.00652620010077953,0.0346390008926392,3.41608595848084,5,9.51422119140625,-0.00902410037815571,1.91691994667053
"FIN",1982,4,-0.603334426879883,6.5771632194519,4.02313184738159,2.05399608612061,-0.0366815999150276,0.0271288007497787,3.44871711730957,5,9.68741607666016,0.0385050997138023,1.8717999458313
"FIN",1987,5,-0.250230193138123,4.1847071647644,3.97993493080139,2.23857998847961,-0.0162268001586199,0.00224629999138415,3.26530909538269,8,9.82306003570557,0.0364747010171413,2.06433010101318
"FIN",1995,6,-0.59311181306839,2.1732439994812,4.23488616943359,2.26737189292908,0.00599619979038835,0.04721549898386,3.13549399375916,5,9.84103012084961,-0.0569947995245457,2.35612988471985
"FJI",1968,1,-1.8930629491806,11.2542495727539,4.58085012435913,1.70238196849823,-0.00879300013184547,0.0380508005619049,3.82864093780518,9,8.03371238708496,0.0271444004029036,1.38628995418549
"FRA",1962,1,-1.31665003299713,4.21041917800903,3.30714797973633,1.72097897529602,-0.0285195000469685,0.0449809990823269,3.91202306747436,8,9.06043815612793,0.0798849985003471,0.641849994659424
"FRA",1970,2,-1.00479602813721,8.70730209350586,3.54379892349243,1.73659896850586,0.0154665997251868,0.025127999484539,3.68386697769165,5,9.42028617858887,0.135832205414772,1.28093004226685
"FRA",1975,3,-0.593648612499237,10.7392997741699,3.71673607826233,1.79857003688812,-0.0722097009420395,0.0254132002592087,3.76119995117188,6,9.54592609405518,0.0376593992114067,1.96010005474091
"FRA",1981,4,-0.303874313831329,6.56921577453613,3.79972290992737,1.9370139837265,0.0199290998280048,0.0225914008915424,3.32794189453125,8,9.6984052658081,-0.0264963004738092,2.1860499382019
"FRA",1989,5,-0.100318096578121,2.16357707977295,3.76993203163147,1.93888604640961,-0.00246159988455474,0.0030749998986721,3.48737502098084,5,9.87913608551025,0.0195663999766111,1.9740799665451
"FRA",1994,6,-0.169509500265121,0.948471307754517,3.84541988372803,2.00471806526184,-0.0194959007203579,0.0187427997589111,3.4750669002533,5,9.89451122283936,0.0250623002648354,2.07190990447998
"GAB",1960,1,-1.85899198055267,11.0970401763916,4.63099384307861,1.79769313486232e+308,-0.00511870021000504,0.0627100020647049,4.1588830947876,15,8.01526641845703,0.0427903011441231,0.693149983882904
"GBR",1961,1,-1.67208397388458,4.55720806121826,3.63251495361328,1.99538004398346,0,0.023412499576807,3.23080396652222,5,9.18866729736328,-0.000642700004391372,2.23537993431091
"GBR",1966,2,-1.62240505218506,5.57175588607788,3.72071409225464,2.0360119342804,0.00313730002380908,0.0212015006691217,3.23080396652222,5,9.30572986602783,0.0112647004425526,2.23216009140015
"GBR",1971,3,-1.2732789516449,13.606240272522,3.92414999008179,2.08380699157715,-0.0204677004367113,0.0207519996911287,3.24649095535278,5,9.4117374420166,0.012958399951458,2.28849005699158
"GBR",1976,4,-1.33326900005341,14.2505598068237,4.00437688827515,2.11299705505371,0.0181192997843027,0.0069404998794198,3.14415192604065,5,9.5154972076416,-0.0309886001050472,2.35328006744385
"GBR",1981,5,-0.883147776126862,6.2875189781189,3.97188305854797,2.14194703102112,0.0180574003607035,0.0305479001253843,3.23474907875061,5,9.55020046234131,-0.0137826995924115,2.19833993911743
"GBR",1986,6,-0.0632003024220467,6.09323883056641,3.92222499847412,2.17122292518616,0.0306244995445013,0.0183990001678467,3.32503604888916,5,9.7029390335083,-0.0192047990858555,2.12942004203796
"GBR",1991,7,0.0994191989302635,3.45617699623108,3.97025108337402,2.20706510543823,-0.00563419982790947,0.0223721005022526,3.47815799713135,5,9.79493427276611,0.00440140021964908,2.03340005874634
