"country","year","logagedependency","countrycode","loginitialheadcount","loginitialpovertygap","growthinheadcount","growthinpovertygap","timespan","loginitialgini","growthinmeanincome","growthingdppercapita","logprivatecredit","logcommercialcentralbank","inflation","populationgrowth","logtrade","logschooling"
"Mali",1989,0.0188177991658449,"MLI",2.80093288421631,1.36609196662903,0.0660218000411987,0.092256598174572,12,3.59758591651916,-0.0251874998211861,0.0214108005166054,-2.00482797622681,-0.553188502788544,5.01134586334228,2.67983508110046,4.07454681396484,-0.406465590000153
"Mauritania",1987,-0.1161293014884,"MRT",3.843101978302,3.0335099697113,-0.0451781004667282,-0.0776396989822388,13,3.78282499313354,0.0285043008625507,1.79769313486232e+308,-1.23911702632904,-0.20791220664978,7.1181640625,2.53605389595032,4.57752704620361,0.885419070720673
"Mexico",1984,-0.111021496355534,"MEX",2.63547897338867,1.21787595748901,-0.0652522966265678,-0.0753965005278587,18,3.83427810668945,0.0292061008512974,0.00630920007824898,-1.5512330532074,-0.147844895720482,36.5169105529785,1.74609196186066,3.81150197982788,1.64904296398163
"Mongolia",1995,-0.296062886714935,"MNG",2.6333270072937,1.1184149980545,0.221083596348762,0.323659002780914,3,3.50254988670349,-0.133735403418541,1.79769313486232e+308,-2.10399389266968,-0.155185103416443,24.3139991760254,1.22499394416809,4.65968608856201,1.79769313486232e+308
"Morocco",1984,-0.155395597219467,"MAR",0.712949812412262,-0.356674998998642,-0.0923406034708023,-0.154932394623756,14,3.66842198371887,0.00993849989026785,0.0163730997592211,-1.31576502323151,-0.30494350194931,4.90286016464233,1.82661497592926,4.03327703475952,1.79769313486232e+308
"Nepal",1995,-0.190673395991325,"NPL",3.5386381149292,2.19277000427246,-0.0386275015771389,-0.0558817982673645,8,3.6288640499115,0.0466620996594429,0.0218295007944107,-2.3755578994751,-0.522741198539734,5.49009084701538,2.3194088935852,4.0037112236023,0.700122773647308
"Nicaragua",1993,-0.0615360997617245,"NIC",3.86995005607605,3.01602506637573,-0.00774439983069897,-0.0250022001564503,8,3.91860103607178,-0.0103230001404881,-0.0082980003207922,-1.43683195114136,-1.0385570526123,19.1500091552734,2.16961693763733,4.18684482574463,1.40805602073669
"Niger",1992,0.0407675988972187,"NER",3.73122000694275,2.52252292633057,0.124138198792934,0.334219992160797,3,3.58629298210144,-0.0878020003437996,-0.0213109999895096,-2.23116302490234,-0.272660911083221,9.7725830078125,3.18697905540466,3.64550995826721,-0.0768809989094734
"Nigeria",1985,-0.0638319998979568,"NGA",4.18540287017822,3.38844990730286,0.00432439986616373,0.00844050012528896,18,3.65532302856445,-0.00265939999371767,-0.0163844991475344,-2.24028205871582,-0.431789994239807,25.4717597961426,2.63644599914551,4.27177715301514,1.79769313486232e+308
"Pakistan",1987,-0.138065502047539,"PAK",3.90459609031677,2.69732594490051,-0.0578382983803749,-0.0924108028411865,9,3.50705790519714,0.0237658992409706,0.0235038995742798,-1.54709601402283,-0.39214551448822,9.61253547668457,2.53234601020813,3.60008788108826,1.36507105827332
"Panama",1989,-0.383904814720154,"PAN",2.46894693374634,1.68454504013062,-0.051325898617506,-0.0973718985915184,13,4.0354790687561,0.0171677004545927,0.0163327995687723,-0.745329678058624,-0.29342120885849,2.29491591453552,2.00109505653381,5.11474895477295,2.08914399147034
"Paraguay",1990,-0.173132106661797,"PRY",1.59533894062042,-0.16251890361309,0.100009299814701,0.180107697844505,12,3.68235802650452,0.0267964005470276,-0.00859170034527779,-1.80418705940247,-0.389018297195435,14.4127101898193,2.598876953125,4.26588201522827,1.80796098709106
"Peru",1985,-0.248781397938728,"PER",0.131028205156326,-1.23787403106689,0.142397493124008,0.159432098269463,17,3.8225359916687,-0.0236642993986607,0.00395649997517467,-1.79689002037048,-0.0342492982745171,612.81689453125,1.88205897808075,3.43881106376648,1.79508697986603
"Philippines",1985,-0.190182402729988,"PHL",3.12500500679016,1.67522597312927,-0.0256970003247261,-0.0388868004083633,15,3.71454691886902,0.0226710997521877,0.0143903996795416,-1.26720798015594,-0.185713395476341,9.20554828643799,2.23479890823364,4.31218910217285,1.89476704597473
"Poland",1992,-0.625345826148987,"POL",-3.21887588500977,-4.60516977310181,0.0916291028261185,0.138629406690598,10,3.28466391563416,0.0283346995711327,0.0415600016713142,-1.76294994354248,-0.225422501564026,18.7042407989502,-0.00294800009578466,3.96008205413818,2.26571297645569
"Romania",1992,-0.687288403511047,"ROM",-1.07880997657776,-1.46967601776123,0.106738202273846,0.0355333015322685,11,3.23710799217224,-0.0389989987015724,0.0226332992315292,-2.50421404838562,-0.251240611076355,85.1402969360352,-0.535486221313477,4.16711521148682,1.79769313486232e+308
"Rwanda",1984,0.048361599445343,"RWA",3.57599091529846,2.03470611572266,0.0247342009097338,0.0644008964300156,15,3.36384201049805,8.56999977258965e-05,-0.0118851000443101,-2.79902791976929,-0.551798105239868,10.3683700561523,1.75820302963257,3.42221093177795,0.621114015579224
"Senegal",1991,-0.00798739958554506,"SEN",3.81507205963135,2.99373006820679,-0.0981270000338554,-0.170725598931313,10,3.99157309532166,0.0260672997683287,0.0111418003216386,-1.4551750421524,-0.180002793669701,4.25597476959228,2.58206009864807,4.17300987243652,0.872129797935486
"Slovenia",1993,-0.790396928787232,"SVN",-3.21887588500977,-3.21887588500977,-0.138629406690598,-0.138629406690598,5,3.37348389625549,0.0245060995221138,0.0398642010986805,-1.23703694343567,-0.017985200509429,18.4244594573975,-0.11727699637413,4.69748210906982,1.79769313486232e+308
